(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 909, 909)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 946, 946)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 976, 976)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1005, 1005)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1036, 1036)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1066, 1066)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1096, 1096)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1126, 1126)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1147, 1147)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1186, 1186)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1216, 1216)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1244, 1244)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2546, 2546)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2576, 2576)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2606, 2606)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2637, 2637)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2668, 2668)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2698, 2698)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2729, 2729)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2761, 2761)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2792, 2792)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2818, 2818)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2846, 2846)
